dataset,instance,mip,rf+fo,rf+mip,source_cell
4X,IncT4x_2,112112.118,113457.063,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_3,49654.614,50216.932,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_4,137442.852,138910.452,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_5,43478.85,43885.225,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_6,76838.09,77209.306,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_7,19975.839,19698.839,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_8,174700.915,176310.751,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_9,24728.428,24780.369,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_1,50531.718,50351.243,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_10,17970.346,16267.411,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_2,116736.699,116392.639,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_3,54387.75,56950.294,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_4,141718.617,142135.253,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_5,46154.55,46686.65,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_6,80612.087,81625.778,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_7,23105.003,23034.683,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_8,177696.017,180758.497,,registered/production: CPLEX22_1h and Grade A rf+fo
5X,IncT5x_9,29151.91,29538.702,,registered/production: CPLEX22_1h and Grade A rf+fo
8X,IncT8x_2,131839.464,135291.725,131246.445,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
8X,IncT8x_3,71839.478,77987.822,71896.386,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
8X,IncT8x_4,166073.216,160989.844,160602.997,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
8X,IncT8x_5,59924.391,60653.804,58152.349,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
8X,IncT8x_6,103833.803,97667.582,99419.134,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
S,S_1,36964.861,36975.311,,reconstructed S_1 supplement: mip/rf+fo from results_production/s1
S,S_10,5639.568,5658.468,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_2,99950.709,99950.709,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_3,39695.173,39695.173,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_4,127725.976,127800.463,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_5,35426.141,35439.916,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_6,66677.463,66677.463,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_7,10568.618,10568.618,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_8,160911.938,160911.938,,registered/production: CPLEX22_1h and Grade A rf+fo
S,S_9,15627.917,15635.217,,registered/production: CPLEX22_1h and Grade A rf+fo
