dataset,instance,T,J,I,cplex_budget_used,cplex_Z,cplex_Z_1h,cplex_bound,cplex_gap_pct,cplex_status,cplex_mip_600_Z,cplex_mip_3600_Z,cplex_mip_10800_Z,cplex_mip_10800_bound,cplex_mip_10800_gap_pct,rf_fo_600_Z,rf_mip_600_Z,rf_fo_3600_Z,rf_mip_3600_Z,ils2_Z_best,ils2_Z_mean,ils2_Z_std,ils1_Z_best,BKS,bks_source,gap_ils2_vs_bound_pct,gap_ils2_vs_cplex_primal_pct,gap_ils2_vs_BKS_pct,gap_cplex_vs_BKS_pct,gap_rf_fo_600_vs_BKS_pct,gap_rf_mip_600_vs_BKS_pct,gap_mip_600_vs_BKS_pct,gap_rf_fo_3600_vs_BKS_pct,gap_rf_mip_3600_vs_BKS_pct,gap_mip_3600_vs_BKS_pct,ils2_wins,ties
Real order book,REAL_1,19,159,50,mip_10800s,11442.625,,11442.625,0.0,OptimalGlobal,11442.625,11442.625,11442.625,11442.625,0.0,11442.625,11442.625,11442.625,,11442.625,11487.995,7.912558583248475,,11442.625,MAT_mip_600s | 600s | experiments\matheuristics\results_production\real\REAL_1_mip_seed1_b600.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,True
2X,IncT2X_1,38,159,50,3h,40179.544,40179.544,40179.544,0.0,OptimalGlobal,40179.544,,,,,40395.882,40179.544,40395.882,,42131.48,43834.2662,1016.6308028480696,42947.365,40179.544,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_1_mip_seed1_b600.json,4.85803422756615,4.85803422756615,4.85803422756615,0.0,0.5384282111315054,0.0,0.0,0.5384282111315054,,,False,False
2X,IncT2X_10,38,159,50,3h,8335.23,8335.23,8335.23,0.0,OptimalGlobal,8335.23,,,,,8402.793,8335.23,8402.793,,8845.78,10203.8462,693.6338048336133,12488.328,8335.23,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_10_mip_seed1_b600.json,6.125205903136459,6.125205903136459,6.125205903136459,0.0,0.8105715139234323,0.0,0.0,0.8105715139234323,,,False,False
2X,IncT2X_2,38,159,50,3h,105100.906,105100.906,105100.906,0.0,OptimalGlobal,105100.906,,,,,105211.081,105100.906,105211.081,,106455.967,109959.4436,2425.497369270852,129019.883,105100.906,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_2_mip_seed1_b600.json,1.2892952606897619,1.2892952606897619,1.2892952606897619,0.0,0.10482783088473367,0.0,0.0,0.10482783088473367,,,False,False
2X,IncT2X_3,38,159,50,3h,42938.57,42938.57,42938.57,0.0,OptimalGlobal,42939.345,,,,,42940.295,42938.57,42940.295,,44988.661,48130.82030000001,1506.5010764251815,57043.268,42938.57,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_3_rf_mip_seed1_b600.json,4.7744743245990735,4.7744743245990735,4.7744743245990735,0.0,0.004017367136349778,0.0,0.001804904075756261,0.004017367136349778,,,False,False
2X,IncT2X_4,38,159,50,3h,131571.0,131571.0,131571.0,0.0,OptimalGlobal,131571.0,,,,,132100.436,131571.0,132100.436,,132911.883,135572.94629999998,2282.8220244068275,149599.913,131571.0,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_4_mip_seed1_b600.json,1.019132635611192,1.019132635611192,1.019132635611192,0.0,0.40239566469813787,0.0,0.0,0.40239566469813787,,,False,False
2X,IncT2X_5,38,159,50,3h,38183.994,38183.994,38183.994,0.0,OptimalGlobal,38183.994,,,,,38265.119,38183.994,38265.119,,38391.069,41638.9287,4046.317848012108,55518.02,38183.994,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_5_mip_seed1_b600.json,0.5423083818837924,0.5423083818837924,0.5423083818837924,0.0,0.2124581310168863,0.0,0.0,0.2124581310168863,,,False,False
2X,IncT2X_6,38,159,50,3h,70335.169,70335.169,70335.169,0.0,OptimalGlobal,70335.169,,,,,70572.794,70335.169,70572.794,,71354.141,74496.7347,2331.688520859129,89110.389,70335.169,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_6_mip_seed1_b600.json,1.4487375440869545,1.4487375440869545,1.4487375440869545,0.0,0.3378466325999729,0.0,0.0,0.3378466325999729,,,False,False
2X,IncT2X_7,38,159,50,3h,13506.887,13506.887,13506.887,0.0,OptimalGlobal,13554.95,,,,,13618.675,13554.95,13618.675,,13887.95,14744.449,882.8348388381855,23541.667,13506.887,CPLEX22_1h | 3600s | experiments\GAMSPy\2X\results\IncT2X_7.json,2.821249633612838,2.821249633612838,2.821249633612838,0.0,0.827637041755059,0.35584069075279967,0.35584069075279967,0.827637041755059,,,False,False
2X,IncT2X_8,38,159,50,3h,169018.311,169018.311,169018.311,0.0,OptimalGlobal,169018.311,,,,,169724.484,169018.311,169724.484,,169602.936,174903.1128,3262.936404413866,189973.51,169018.311,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_8_mip_seed1_b600.json,0.34589447530332973,0.34589447530332973,0.34589447530332973,0.0,0.41780857696537377,0.0,0.0,0.41780857696537377,,,False,False
2X,IncT2X_9,38,159,50,3h,18632.113,18632.113,18632.113,0.0,OptimalGlobal,18670.071,,,,,18794.183,18632.113,18794.183,,19099.846,20566.6611,730.3149234871897,29395.683,18632.113,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_9_rf_mip_seed1_b600.json,2.5103593993874993,2.5103593993874993,2.5103593993874993,0.0,0.8698422986163711,0.0,0.2037235390317712,0.8698422986163711,,,False,False
3X,IncT3x_1,57,159,50,3h,43424.391,43446.121,42979.18296,1.025249,Integer,43503.221,,,,,43585.457,43678.051,44071.776,,46301.96,49102.6273,2968.119093188481,87794.096,43424.391,CPLEX22_3h | 10800s | experiments\GAMSPy\3X\results_3horas\IncT3x_1.json,7.731131238796357,6.626619127485277,6.626619127485277,0.0,0.37091136177361445,0.584141755724326,0.1815339217998347,1.490832652091758,,,False,False
3X,IncT3x_10,57,159,50,3h,10914.378,10937.023,10501.363105,3.784136,Integer,11062.028,,,,,11392.717,10928.978,11392.717,,12905.258,15476.1421,1344.3665578350312,43726.346,10914.378,CPLEX22_3h | 10800s | experiments\GAMSPy\3X\results_3horas\IncT3x_10.json,22.891265362069387,18.240892884596803,18.240892884596803,0.0,4.382650115288292,0.13376850242861796,1.3528026975059837,4.382650115288292,,,False,False
3X,IncT3x_2,57,159,50,3h,108645.892,108645.892,108415.298656,0.212243,Integer,108728.958,,,,,108818.537,108645.892,108784.587,,112567.555,121108.5019,5517.217774920988,170888.982,108645.892,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT3x_2_rf_mip_seed1_b600.json,3.8299542550494063,3.609582403723084,3.609582403723084,0.0,0.15890614621672902,0.0,0.07645572093972187,0.12765784094256635,,,False,False
3X,IncT3x_3,57,159,50,3h,46154.492,46154.492,45689.573082,1.00731,Integer,46210.117,,,,,48237.316,46154.492,46175.567,,49602.858,54222.801,2304.5704448373417,81940.47,46154.492,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT3x_3_rf_mip_seed1_b600.json,8.564940869499361,7.471355117504061,7.471355117504061,0.0,4.512722185307555,0.0,0.12051914686873816,0.04566186103836733,,,False,False
3X,IncT3x_4,57,159,50,3h,134477.501,134477.501,134218.018056,0.192956,Integer,134477.501,,,,,136015.451,134585.826,135703.95,,137497.564,141649.31730000002,2549.716524338601,167578.477,134477.501,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT3x_4_mip_seed1_b600.json,2.4434468572108416,2.245775670682655,2.245775670682655,0.0,1.143648557240822,0.08055250818500237,0.0,0.9120105526053927,,,False,False
3X,IncT3x_5,57,159,50,3h,40735.322,40735.322,40503.384026,0.569378,Integer,40735.322,,,,,41988.239,40747.722,41043.244,,49299.99,56683.485700000005,3589.2340880097727,74552.219,40735.322,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT3x_5_mip_seed1_b600.json,21.718200060403017,21.02516337050189,21.02516337050189,0.0,3.075750818908468,0.030440412377251997,0.0,0.7559090854860523,,,False,False
3X,IncT3x_6,57,159,50,3h,73458.775,73458.775,73092.751498,0.498271,Integer,73632.475,,,,,73798.45,73650.95,74043.145,,78926.687,81561.32449999999,1921.3880562982608,101416.575,73458.775,CPLEX22_1h | 3600s | experiments\GAMSPy\3X\results\IncT3x_6.json,7.9815513610260505,7.4435110032804275,7.4435110032804275,0.0,0.46240221130831943,0.26160931760705636,0.23645915685363886,0.7955074121505701,,,False,False
3X,IncT3x_7,57,159,50,3h,16591.924,16586.707,15564.893466,6.189942,Integer,16651.675,,,,,16532.257,16441.491,16517.632,,20173.408,22159.2003,977.8228827005944,47569.304,16441.491,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_short_budget\IncT3x_7_rf_mip_seed1_b600.json,29.608391114702155,21.585706395472883,22.698166486238975,0.9149595982505312,0.5520545551495276,0.0,1.2783755439211533,0.4631027684776254,,,False,False
3X,IncT3x_8,57,159,50,3h,171942.718,171950.123,171765.74598,0.102925,Integer,171950.123,,,,,174281.637,171986.913,174281.637,,177380.418,183909.3642,3631.8006422411263,221192.734,171942.718,CPLEX22_3h | 10800s | experiments\GAMSPy\3X\results_3horas\IncT3x_8.json,3.2687961083077397,3.162506713427673,3.162506713427673,0.0,1.3602896518129919,0.02570332754656524,0.004306666828425287,1.3602896518129919,,,False,False
3X,IncT3x_9,57,159,50,3h,21779.42,21779.42,21057.503957,3.314671,Integer,21831.245,,,,,21799.577,21824.42,21782.345,,24600.295,28399.9462,1741.252038710894,37867.292,21779.42,CPLEX22_1h | 3600s | experiments\GAMSPy\3X\results\IncT3x_9.json,16.82436365788877,12.95202076088344,12.95202076088344,0.0,0.09255067398490356,0.206617072447292,0.2379539951018013,0.013430109709087344,,,False,False
4X,IncT4x_1,76,159,50,3h,46880.699,47060.324,45448.028958,3.055991,Integer,46995.599,,,,,48681.341,47185.597,47116.022,,53784.224,59407.921,3219.967664150164,101158.562,46880.699,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_1.json,18.342258692238882,14.725729665421587,14.725729665421587,0.0,3.840902628179669,0.6503699955497699,0.24509020225999928,0.501961372205642,,,False,False
4X,IncT4x_10,76,159,50,3h,13375.333,13436.508,12515.283732,6.430115,Integer,14995.081,,,,,14080.284,13823.179,14442.92,,19699.562,21858.9822,1081.7134565691806,59484.482,13375.333,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_10.json,57.40403830902139,47.28277793158497,47.28277793158497,0.0,5.270530460811698,3.3482979451801276,12.109963916412395,7.981760155055575,,,False,False
4X,IncT4x_2,76,159,50,3h,111902.298,112112.118,110607.975981,1.156654,Integer,112458.243,,,,,113643.444,112891.756,113457.063,,115947.61,128555.397,9402.878686738895,188683.246,111902.298,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_2.json,4.827530719771271,3.615039255047296,3.615039255047296,0.0,1.555951960879309,0.884215979192848,0.4968128536556122,1.3893950596081588,,,False,False
