method,dataset,instance,n_runs,Z_best,Z_mean,Z_std,Z_worst,t2b_mean,total_time_mean,time_budget_s,bound,gap_solver_pct,model_status,T,J,I,source_path,raw_method
GRASP_v1,2X,IncT2X_7,10.0,23159.862,24820.3538,1443.774025932713,28004.764,646.7893999999999,1802.4926,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_8,10.0,198643.659,210182.10720000003,6242.000128312747,219188.388,948.1872999999999,1801.446,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,2X,IncT2X_9,10.0,24464.038,29638.279700000003,2708.452780664679,34240.182,910.6700000000001,1802.2617999999998,1900.0,,,,38.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_1,10.0,66534.182,75778.2424,5615.305826377859,82614.9,789.8149000000001,1802.6097999999997,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_10,10.0,29129.277,33668.52990000001,2912.256624608082,38201.958,770.6143000000001,1803.0094000000001,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_2,10.0,131213.38,144913.2059,7952.431131015097,155019.299,868.0995,1802.2988999999998,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_3,10.0,68149.324,72731.48939999999,2573.611519795361,76897.897,1125.8379,1803.9114999999997,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_4,10.0,160951.949,170033.09490000003,6447.5358271893065,179476.85,748.2741,1802.0337999999997,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_5,10.0,56074.933,63332.4694,4231.298949476421,68220.112,651.1456000000001,1804.5966,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_6,10.0,91409.074,96374.6275,3087.4486201633053,102389.248,694.3176,1803.6300999999996,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_7,10.0,29147.358,34784.583,3345.3788112627835,39048.38,953.3467999999999,1803.9931000000001,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_8,10.0,221998.122,233170.6631,6934.459919062165,247860.106,849.6717000000001,1804.3692000000003,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,3X,IncT3x_9,10.0,32288.285,39920.9529,4047.96499798214,45781.345,976.9743999999998,1804.6372999999999,1900.0,,,,57.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_1,10.0,84859.137,89667.4419,4989.799450243277,100982.295,697.8230000000001,1808.4690999999998,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_10,10.0,36754.107,45072.8832,5530.8625446848655,54231.138,1151.216,1804.6272999999997,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_2,10.0,138427.121,153895.2554,11399.835562302127,170401.892,1065.8935,1805.0668999999998,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_3,10.0,80210.725,83068.58129999999,2765.865544834827,87486.46,443.3361999999999,1805.5473000000002,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_4,10.0,175884.943,185326.7338,4521.0148617709165,190046.128,1060.6773,1806.6359,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_5,10.0,65546.131,74736.88119999999,5244.410467156285,82431.189,654.6324000000001,1806.7654000000002,1900.0,,,,76.0,159.0,52.0,,
