method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,S,S_3,9,9,43608.786,310.303,GRASP_warmup,42274.434,1829.543,3602.119,3002.119,False,True,True,19,160,50,2563,experiments/GRASP/results_ils_v2/Ale_3_run09.json,
ILS_v2,S,S_3,10,10,44535.798,184.598,GRASP_warmup,44535.798,184.598,3600.843,3000.843,False,True,True,19,160,50,2434,experiments/GRASP/results_ils_v2/Ale_3_run10.json,
ILS_v2,S,S_4,1,1,128874.463,168.733,GRASP_warmup,128136.335,732.929,3600.068,3000.068,False,True,True,19,160,50,2323,experiments/GRASP/results_ils_v2/Ale_4_run01.json,
ILS_v2,S,S_4,2,2,132765.963,387.933,GRASP_warmup,131087.135,824.738,3601.452,3001.452,False,True,True,19,160,50,2285,experiments/GRASP/results_ils_v2/Ale_4_run02.json,
ILS_v2,S,S_4,3,3,129518.742,182.848,GRASP_warmup,129500.067,723.025,3601.07,3001.07,False,True,True,19,160,50,2245,experiments/GRASP/results_ils_v2/Ale_4_run03.json,
ILS_v2,S,S_4,4,4,128406.913,122.276,GRASP_warmup,127839.076,778.061,3600.079,3000.079,False,True,True,19,160,50,2379,experiments/GRASP/results_ils_v2/Ale_4_run04.json,
ILS_v2,S,S_4,5,5,128299.397,19.207,GRASP_warmup,128211.985,745.969,3601.33,3001.33,False,True,True,19,160,50,2278,experiments/GRASP/results_ils_v2/Ale_4_run05.json,
ILS_v2,S,S_4,6,6,128586.469,4.826,GRASP_warmup,128586.469,4.826,3602.23,3002.23,False,True,True,19,160,50,2255,experiments/GRASP/results_ils_v2/Ale_4_run06.json,
ILS_v2,S,S_4,7,7,128594.171,113.146,GRASP_warmup,128431.694,764.457,3601.866,3001.866,False,True,True,19,160,50,2214,experiments/GRASP/results_ils_v2/Ale_4_run07.json,
ILS_v2,S,S_4,8,8,129532.453,548.257,GRASP_warmup,128005.31,740.76,3602.088,3002.088,False,True,True,19,160,50,2194,experiments/GRASP/results_ils_v2/Ale_4_run08.json,
ILS_v2,S,S_4,9,9,131246.94,220.612,GRASP_warmup,131118.561,734.975,3600.846,3000.846,False,True,True,19,160,50,2232,experiments/GRASP/results_ils_v2/Ale_4_run09.json,
ILS_v2,S,S_4,10,10,130081.51,7.257,GRASP_warmup,129326.065,874.227,3600.542,3000.542,False,True,True,19,160,50,2244,experiments/GRASP/results_ils_v2/Ale_4_run10.json,
ILS_v2,S,S_5,1,1,36426.213,3.454,GRASP_warmup,35690.183,633.476,3600.122,3000.122,False,True,True,19,160,50,2158,experiments/GRASP/results_ils_v2/Ale_5_run01.json,
ILS_v2,S,S_5,2,2,37164.48,407.842,GRASP_warmup,35426.141,757.063,3600.007,3000.007,False,True,True,19,160,50,2178,experiments/GRASP/results_ils_v2/Ale_5_run02.json,
ILS_v2,S,S_5,3,3,37164.48,205.327,GRASP_warmup,35426.141,750.459,3600.398,3000.398,False,True,True,19,160,50,2075,experiments/GRASP/results_ils_v2/Ale_5_run03.json,
ILS_v2,S,S_5,4,4,37164.48,481.557,GRASP_warmup,35426.141,744.47,3603.403,3003.403,False,True,True,19,160,50,2179,experiments/GRASP/results_ils_v2/Ale_5_run04.json,
ILS_v2,S,S_5,5,5,36374.363,64.442,GRASP_warmup,35448.716,970.135,3602.175,3002.175,False,True,True,19,160,50,2146,experiments/GRASP/results_ils_v2/Ale_5_run05.json,
ILS_v2,S,S_5,6,6,37164.48,591.95,GRASP_warmup,35426.141,891.06,3600.582,3000.582,False,True,True,19,160,50,2130,experiments/GRASP/results_ils_v2/Ale_5_run06.json,
ILS_v2,S,S_5,7,7,37164.48,64.428,GRASP_warmup,35426.141,863.314,3600.258,3000.258,False,True,True,19,160,50,2143,experiments/GRASP/results_ils_v2/Ale_5_run07.json,
ILS_v2,S,S_5,8,8,37164.48,412.727,GRASP_warmup,35426.141,782.613,3600.965,3000.965,False,True,True,19,160,50,2203,experiments/GRASP/results_ils_v2/Ale_5_run08.json,
ILS_v2,S,S_5,9,9,37164.48,221.404,GRASP_warmup,35426.141,758.221,3600.528,3000.528,False,True,True,19,160,50,2130,experiments/GRASP/results_ils_v2/Ale_5_run09.json,
ILS_v2,S,S_5,10,10,37164.48,41.041,GRASP_warmup,35426.141,774.913,3602.082,3002.082,False,True,True,19,160,50,2148,experiments/GRASP/results_ils_v2/Ale_5_run10.json,
ILS_v2,S,S_6,1,1,69430.664,191.528,GRASP_warmup,67744.346,757.408,3600.189,3000.189,False,True,True,19,160,50,2012,experiments/GRASP/results_ils_v2/Ale_6_run01.json,
ILS_v2,S,S_6,2,2,68603.267,575.214,GRASP_warmup,68309.642,2720.922,3600.36,3000.36,False,True,True,19,160,50,2063,experiments/GRASP/results_ils_v2/Ale_6_run02.json,
ILS_v2,S,S_6,3,3,71009.517,494.0,GRASP_warmup,69457.709,723.34,3600.444,3000.444,False,True,True,19,160,50,2051,experiments/GRASP/results_ils_v2/Ale_6_run03.json,
ILS_v2,S,S_6,4,4,69610.124,108.954,GRASP_warmup,69587.024,3044.019,3600.003,3000.003,False,True,True,19,160,50,2061,experiments/GRASP/results_ils_v2/Ale_6_run04.json,
ILS_v2,S,S_6,5,5,69651.109,455.791,GRASP_warmup,69322.014,2356.805,3600.575,3000.575,False,True,True,19,160,50,2093,experiments/GRASP/results_ils_v2/Ale_6_run05.json,
ILS_v2,S,S_6,6,6,70434.004,70.369,GRASP_warmup,68089.081,1365.061,3601.178,3001.178,False,True,True,19,160,50,2082,experiments/GRASP/results_ils_v2/Ale_6_run06.json,
ILS_v2,S,S_6,7,7,69497.144,458.112,GRASP_warmup,68946.952,736.425,3600.132,3000.132,False,True,True,19,160,50,2035,experiments/GRASP/results_ils_v2/Ale_6_run07.json,
ILS_v2,S,S_6,8,8,69823.711,150.782,GRASP_warmup,69361.639,3406.243,3601.299,3001.299,False,True,True,19,160,50,2070,experiments/GRASP/results_ils_v2/Ale_6_run08.json,
ILS_v2,S,S_6,9,9,69896.988,292.74,GRASP_warmup,67288.871,769.599,3602.637,3002.637,False,True,True,19,160,50,2077,experiments/GRASP/results_ils_v2/Ale_6_run09.json,
ILS_v2,S,S_6,10,10,68207.592,278.773,GRASP_warmup,68163.492,745.772,3600.312,3000.312,False,True,True,19,160,50,2121,experiments/GRASP/results_ils_v2/Ale_6_run10.json,
ILS_v2,S,S_7,1,1,10596.618,362.186,GRASP_warmup,10578.918,1043.191,3601.422,3001.422,False,True,True,19,160,50,2090,experiments/GRASP/results_ils_v2/Ale_7_run01.json,
ILS_v2,S,S_7,2,2,10596.618,282.232,GRASP_warmup,10578.918,1104.608,3601.023,3001.023,False,True,True,19,160,50,2075,experiments/GRASP/results_ils_v2/Ale_7_run02.json,
ILS_v2,S,S_7,3,3,10596.618,202.255,GRASP_warmup,10578.918,795.365,3600.319,3000.319,False,True,True,19,160,50,2090,experiments/GRASP/results_ils_v2/Ale_7_run03.json,
ILS_v2,S,S_7,4,4,11577.088,188.765,GRASP_warmup,10578.918,2099.798,3600.232,3000.232,False,True,True,19,160,50,2157,experiments/GRASP/results_ils_v2/Ale_7_run04.json,
ILS_v2,S,S_7,5,5,10596.618,527.603,GRASP_warmup,10578.918,1620.998,3600.753,3000.753,False,True,True,19,160,50,2113,experiments/GRASP/results_ils_v2/Ale_7_run05.json,
ILS_v2,S,S_7,6,6,10596.618,520.361,GRASP_warmup,10578.918,845.933,3601.044,3001.044,False,True,True,19,160,50,2073,experiments/GRASP/results_ils_v2/Ale_7_run06.json,
ILS_v2,S,S_7,7,7,10638.218,190.791,GRASP_warmup,10578.918,2789.689,3601.329,3001.329,False,True,True,19,160,50,2149,experiments/GRASP/results_ils_v2/Ale_7_run07.json,
ILS_v2,S,S_7,8,8,10596.618,285.587,GRASP_warmup,10578.918,829.014,3600.993,3000.993,False,True,True,19,160,50,2051,experiments/GRASP/results_ils_v2/Ale_7_run08.json,
ILS_v2,S,S_7,9,9,10596.618,255.013,GRASP_warmup,10578.918,798.25,3600.477,3000.477,False,True,True,19,160,50,2050,experiments/GRASP/results_ils_v2/Ale_7_run09.json,
