grade,dataset,instance,method,seed,budget_s,Z_final,construction_used,rf_wall_time_s,wall_time_total,window_log_rows,early_stop_reason,status
B,3X,IncT3x_9,rf+mip,1,600.0,21824.42,rf,85.17,605.44,11,,ok
B,4X,IncT4x_1,mip,1,600.0,46995.599,mip,0.0,613.19,0,,ok
B,4X,IncT4x_1,rf+fo,1,600.0,48681.341,greedy_floor,119.88,595.053,52,,ok
B,4X,IncT4x_1,rf+mip,1,600.0,47185.597,greedy_floor,119.624,609.947,8,,ok
B,4X,IncT4x_10,mip,1,600.0,14995.081,mip,0.0,607.442,0,,ok
B,4X,IncT4x_10,rf+fo,1,600.0,14080.284,greedy_floor,119.936,592.447,33,,ok
B,4X,IncT4x_10,rf+mip,1,600.0,13823.179,greedy_floor,119.201,609.295,8,,ok
B,4X,IncT4x_2,mip,1,600.0,112458.243,mip,0.0,610.607,0,,ok
B,4X,IncT4x_2,rf+fo,1,600.0,113643.444,rf,142.751,591.632,62,,ok
B,4X,IncT4x_2,rf+mip,1,600.0,112891.756,rf,141.463,610.464,13,,ok
B,4X,IncT4x_3,mip,1,600.0,49550.389,mip,0.0,610.719,0,,ok
B,4X,IncT4x_3,rf+fo,1,600.0,52419.859,greedy_floor,115.073,597.145,45,,ok
B,4X,IncT4x_3,rf+mip,1,600.0,49713.464,greedy_floor,114.99,609.779,7,,ok
B,4X,IncT4x_4,mip,1,600.0,140937.529,mip,0.0,606.981,0,,ok
B,4X,IncT4x_4,rf+fo,1,600.0,140924.581,greedy_floor,126.538,598.683,58,,ok
B,4X,IncT4x_4,rf+mip,1,600.0,139762.236,greedy_floor,133.325,608.909,11,,ok
B,4X,IncT4x_5,mip,1,600.0,43438.275,mip,0.0,607.572,0,,ok
B,4X,IncT4x_5,rf+fo,1,600.0,45164.417,greedy_floor,122.98,592.723,45,,ok
B,4X,IncT4x_5,rf+mip,1,600.0,43895.475,greedy_floor,121.174,608.512,8,,ok
B,4X,IncT4x_6,mip,1,600.0,78230.194,mip,0.0,606.16,0,,ok
B,4X,IncT4x_6,rf+fo,1,600.0,78063.39,greedy_floor,120.28,600.084,56,,ok
B,4X,IncT4x_6,rf+mip,1,600.0,82492.802,greedy_floor,118.685,607.882,8,,ok
B,4X,IncT4x_7,mip,1,600.0,21637.253,mip,0.0,606.706,0,,ok
B,4X,IncT4x_7,rf+fo,1,600.0,19282.326,greedy_floor,114.565,599.074,36,,ok
B,4X,IncT4x_7,rf+mip,1,600.0,20917.704,greedy_floor,114.219,608.396,7,,ok
B,4X,IncT4x_8,mip,1,600.0,175549.4,mip,0.0,613.808,0,,ok
B,4X,IncT4x_8,rf+fo,1,600.0,178330.843,greedy_floor,133.741,594.125,59,,ok
B,4X,IncT4x_8,rf+mip,1,600.0,176793.359,greedy_floor,133.638,609.656,11,,ok
B,4X,IncT4x_9,mip,1,600.0,25270.794,mip,0.0,606.567,0,,ok
B,4X,IncT4x_9,rf+fo,1,600.0,25141.926,greedy_floor,120.856,593.583,49,,ok
B,4X,IncT4x_9,rf+mip,1,600.0,24929.994,greedy_floor,121.323,608.539,8,,ok
B,5X,IncT5x_1,mip,1,600.0,53900.57,mip,0.0,609.491,0,,ok
B,5X,IncT5x_1,rf+fo,1,600.0,52257.127,greedy,0.0,592.117,38,,ok
B,5X,IncT5x_1,rf+mip,1,600.0,53606.275,greedy,0.0,609.727,0,,ok
B,5X,IncT5x_10,mip,1,600.0,18416.365,mip,0.0,609.267,0,,ok
B,5X,IncT5x_10,rf+fo,1,600.0,18456.409,greedy,0.0,595.553,30,,ok
B,5X,IncT5x_10,rf+mip,1,600.0,20172.053,greedy,0.0,609.263,0,,ok
B,5X,IncT5x_2,mip,1,600.0,118538.381,mip,0.0,609.43,0,,ok
B,5X,IncT5x_2,rf+fo,1,600.0,120908.638,greedy,0.0,598.276,43,,ok
B,5X,IncT5x_2,rf+mip,1,600.0,116353.298,greedy,0.0,609.287,0,,ok
B,5X,IncT5x_3,mip,1,600.0,56911.122,mip,0.0,609.106,0,,ok
B,5X,IncT5x_3,rf+fo,1,600.0,63266.34,greedy,0.0,593.763,32,,ok
B,5X,IncT5x_3,rf+mip,1,600.0,58683.358,greedy,0.0,609.862,0,,ok
B,5X,IncT5x_4,mip,1,600.0,149151.022,mip,0.0,609.712,0,,ok
B,5X,IncT5x_4,rf+fo,1,600.0,144547.581,greedy,0.0,591.872,44,,ok
B,5X,IncT5x_4,rf+mip,1,600.0,143247.126,greedy,0.0,609.613,0,,ok
B,5X,IncT5x_5,mip,1,600.0,47532.05,mip,0.0,609.181,0,,ok
B,5X,IncT5x_5,rf+fo,1,600.0,54964.989,greedy,0.0,598.24,31,,ok
B,5X,IncT5x_5,rf+mip,1,600.0,47755.687,greedy,0.0,609.481,0,,ok
B,5X,IncT5x_6,mip,1,600.0,81217.962,mip,0.0,608.952,0,,ok
B,5X,IncT5x_6,rf+fo,1,600.0,83941.55,greedy,0.0,598.362,39,,ok
B,5X,IncT5x_6,rf+mip,1,600.0,81249.906,greedy,0.0,609.314,0,,ok
B,5X,IncT5x_7,mip,1,600.0,24141.136,mip,0.0,609.352,0,,ok
B,5X,IncT5x_7,rf+fo,1,600.0,24172.648,greedy,0.0,596.829,28,,ok
B,5X,IncT5x_7,rf+mip,1,600.0,26103.062,greedy,0.0,609.61,0,,ok
B,5X,IncT5x_8,mip,1,600.0,177899.482,mip,0.0,609.911,0,,ok
B,5X,IncT5x_8,rf+fo,1,600.0,182388.706,greedy,0.0,597.994,45,,ok
B,5X,IncT5x_8,rf+mip,1,600.0,177995.563,greedy,0.0,608.467,0,,ok
B,5X,IncT5x_9,mip,1,600.0,28791.293,mip,0.0,608.651,0,,ok
B,5X,IncT5x_9,rf+fo,1,600.0,28381.253,greedy,0.0,598.642,38,,ok
B,5X,IncT5x_9,rf+mip,1,600.0,30166.525,greedy,0.0,608.149,0,,ok
B,8X,IncT8x_2,mip,1,600.0,141748.933,mip,0.0,620.472,0,,ok
B,8X,IncT8x_2,rf+fo,1,600.0,135940.96,greedy,0.0,602.246,17,,ok
B,8X,IncT8x_2,rf+mip,1,600.0,159071.315,greedy,0.0,620.511,0,,ok
B,8X,IncT8x_3,mip,1,600.0,72423.653,mip,0.0,621.108,0,,ok
B,8X,IncT8x_3,rf+fo,1,600.0,80768.327,greedy,0.0,592.277,12,,ok
B,8X,IncT8x_3,rf+mip,1,600.0,74801.486,greedy,0.0,620.35,0,,ok
B,8X,IncT8x_4,mip,1,600.0,177731.634,mip,0.0,627.729,0,,ok
B,8X,IncT8x_4,rf+fo,1,600.0,165236.028,greedy,0.0,625.425,16,,ok
B,8X,IncT8x_4,rf+mip,1,600.0,160681.797,greedy,0.0,621.662,0,,ok
B,8X,IncT8x_5,mip,1,600.0,85982.556,mip,0.0,621.238,0,,ok
B,8X,IncT8x_5,rf+fo,1,600.0,77162.719,greedy,0.0,621.454,11,,ok
B,8X,IncT8x_5,rf+mip,1,600.0,67322.044,greedy,0.0,621.697,0,,ok
B,8X,IncT8x_6,mip,1,600.0,110285.39,mip,0.0,630.91,0,,ok
