method,dataset,instance,run_id,seed,Z,bound,gap_solver_pct,time_to_best_s,total_time_s,time_budget_s,model_status,iterations,T,J,I,source_path,raw_method,construction_used,Z_construction,rf_wall_time_s
GRASP_v1,2X,IncT2X_2,9,1395616197.0,111931.515,,,1750.383,1800.882,1900.0,,722.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_2,10,1506083911.0,120743.511,,,269.823,1801.688,1900.0,,706.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,1,1170252924.0,60831.945,,,390.188,1801.444,1900.0,,612.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,2,900911955.0,57318.583,,,540.104,1800.402,1900.0,,609.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,3,473392625.0,61556.036,,,15.5,1803.687,1900.0,,616.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,4,964669078.0,65055.363,,,433.043,1804.542,1900.0,,611.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,5,1265438423.0,61527.347,,,170.664,1803.671,1900.0,,622.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,6,597409993.0,57621.621,,,767.176,1800.88,1900.0,,632.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,7,1738238662.0,64853.657,,,370.534,1800.69,1900.0,,603.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,8,1866808230.0,59429.224,,,385.424,1802.446,1900.0,,623.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,9,13955984.0,59773.423,,,985.853,1802.744,1900.0,,616.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_3,10,1629526406.0,63017.097,,,925.127,1802.656,1900.0,,612.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,1,1730483679.0,155971.591,,,1210.679,1800.969,1900.0,,751.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,2,342865763.0,153848.012,,,1801.125,1802.387,1900.0,,780.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,3,1499242942.0,154682.044,,,1534.697,1800.401,1900.0,,760.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,4,907557513.0,153311.158,,,969.103,1800.675,1900.0,,753.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,5,730682428.0,150593.679,,,1640.064,1801.931,1900.0,,763.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,6,596724165.0,150481.479,,,648.892,1800.81,1900.0,,755.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,7,333889689.0,157090.757,,,1129.722,1801.248,1900.0,,763.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,8,462382782.0,151645.249,,,541.954,1802.051,1900.0,,766.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,9,2055599410.0,152467.851,,,1058.79,1801.868,1900.0,,756.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_4,10,1639591160.0,152442.449,,,757.864,1802.277,1900.0,,750.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,1,722831293.0,49669.393,,,1700.781,1802.032,1900.0,,595.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,2,219494903.0,54135.7,,,1638.853,1800.058,1900.0,,589.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,3,199170185.0,51126.36,,,170.079,1801.077,1900.0,,594.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,4,815887679.0,54103.441,,,612.009,1801.156,1900.0,,599.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,5,207696844.0,48847.606,,,566.292,1805.724,1900.0,,599.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,6,770902344.0,48359.822,,,709.013,1801.972,1900.0,,595.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,7,1819980298.0,52093.91,,,739.147,1800.02,1900.0,,587.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,8,738639289.0,51824.649,,,506.12,1801.947,1900.0,,588.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,9,1296491778.0,47329.026,,,220.351,1801.889,1900.0,,588.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_5,10,568054228.0,51650.747,,,1593.409,1802.204,1900.0,,591.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,1,1733294784.0,83166.137,,,447.607,1801.743,1900.0,,602.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,2,93309106.0,79996.116,,,256.176,1802.02,1900.0,,604.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,3,1567087081.0,79425.657,,,360.049,1801.585,1900.0,,603.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,4,986607412.0,79940.446,,,691.142,1800.032,1900.0,,604.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,5,1151541059.0,79331.952,,,1370.196,1800.624,1900.0,,597.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,6,268062141.0,81760.497,,,405.369,1804.998,1900.0,,609.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,7,2089750183.0,70769.257,,,339.85,1804.816,1900.0,,597.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,8,1980614225.0,78622.646,,,295.157,1800.485,1900.0,,608.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,9,812896394.0,82774.903,,,1293.249,1801.959,1900.0,,595.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_6,10,169222133.0,75319.817,,,1455.622,1801.431,1900.0,,587.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,1,1185498233.0,24419.494,,,246.161,1801.311,1900.0,,569.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,2,629595553.0,23159.862,,,1350.426,1802.818,1900.0,,580.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,3,1781132954.0,28004.764,,,153.045,1802.912,1900.0,,567.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,4,1349993688.0,25449.216,,,635.497,1802.98,1900.0,,569.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,5,1328261054.0,24725.677,,,1331.682,1804.504,1900.0,,572.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,6,1901493144.0,24712.076,,,264.945,1801.687,1900.0,,595.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,7,1850501473.0,23626.662,,,132.837,1801.008,1900.0,,591.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,8,776605305.0,26199.78,,,73.472,1802.703,1900.0,,595.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,9,1239854304.0,24429.184,,,622.048,1802.141,1900.0,,572.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_7,10,412936599.0,23476.823,,,1657.781,1802.862,1900.0,,579.0,38.0,159.0,52.0,,,,,
GRASP_v1,2X,IncT2X_8,1,1513056505.0,214702.418,,,474.128,1800.764,1900.0,,715.0,38.0,159.0,52.0,,,,,
